region_cd,region_nm,research_date,apt_type,size_gbn,rate,level_no
A5000,5대광역시,202112,1,2,3.9999999999999996,0
A8000,8개시도,202112,1,3,4.173913043478262,0
11A01,강북지역,202112,1,3,4.068680913780398,1
28000,인천,202112,1,1,4.703905285343196,0
36000,세종,202112,1,3,4.1839323467230445,0
41000,경기,202112,1,2,4.2,0
43000,충북,202112,1,2,4.2840935857015365,0
44000,충남,202112,1,1,6.644970450741973,0
A1000,전국,202110,35,1,5.087354589319439,0
A8000,8개시도,202110,35,2,6.879384961721046,0
11000,서울,202110,35,2,3.7763791188448725,0
11A11,도심권,202110,35,3,4.404872236197539,1
11A13,서북권,202110,35,3,4.08166287437598,1
26000,부산,202110,35,3,4.381752004578181,0
27000,대구,202110,35,2,5.97196261682243,0
30000,대전,202110,35,3,4.723898480657802,0
31000,울산,202110,35,1,8.952634257121588,0
31000,울산,202110,35,3,5,0
36000,세종,202110,35,3,7.174455296769347,0
43000,충북,202110,35,1,12.192471587996701,0
46000,전남,202110,35,3,6.822245437062379,0
46000,전남,202110,35,1,8.98982687845797,0
47000,경북,202110,35,3,5.869778988323413,0
50000,제주,202110,35,1,7.518343785521152,0
A2000,수도권,202110,7,1,6.9807677045580805,0
A2001,지방,202110,7,2,8.229182128543863,0
11000,서울,202110,7,3,3.972562358896138,0
11A12,동북권,202110,7,1,6.460532090514425,1
11A13,서북권,202110,7,1,6.329308882072699,1
11A15,동남권,202110,7,3,3.449598038796146,1
27000,대구,202110,7,1,9.277235161532682,0
28000,인천,202110,7,1,10.357964926301126,0
41000,경기,202110,7,1,9.090909090909092,0
44000,충남,202110,7,3,6.256682462056268,0
A1000,전국,202110,1,1,4.805766299323219,0
A8000,8개시도,202110,1,2,4.421052631578946,0
11A11,도심권,202110,1,1,4.3664801646206515,1
28000,인천,202110,1,2,4.404081632653061,0
41000,경기,202110,1,3,4.177446715306595,0
41000,경기,202110,1,1,4.645161290322581,0
42000,강원,202110,1,3,4.153532519345009,0
42000,강원,202110,1,1,6.25710612076564,0
45000,전북,202110,1,1,6,0
45000,전북,202110,1,3,4.773270520792773,0
47000,경북,202110,1,2,4.399436543328914,0
A2001,지방,202107,35,3,5.1549533756649355,0
A2001,지방,202107,35,2,6.3598631698973795,0
A8000,8개시도,202107,35,3,5.581925385328535,0
11000,서울,202107,35,1,4.0655724862860785,0
11A02,강남지역,202107,35,3,3.638804368747159,1
11A13,서북권,202107,35,1,4.405344453427515,1
11A15,동남권,202107,35,2,3.935908196540859,1
27000,대구,202107,35,1,6.4741954545197435,0
36000,세종,202107,35,2,7.459712354877837,0
41000,경기,202107,35,2,5.454545454545454,0
44000,충남,202107,7,1,10.666666666666668,0
46000,전남,202107,7,3,7.5094246207164845,0
46000,전남,202107,7,1,9.418479745762973,0
48000,경남,202107,7,1,10.479270802705086,0
A2001,지방,202107,7,3,6.088966567063202,0
27000,대구,202107,7,1,9.937710060497425,0
28000,인천,202107,7,2,9.077526936163919,0
28000,인천,202107,7,1,10.035484958964393,0
11A01,강북지역,202107,1,1,4.271186440677966,1
11A02,강남지역,202107,1,1,4.0230220418722045,1
11A11,도심권,202107,1,1,4.5,1
11A11,도심권,202107,1,3,4.114285714285714,1
11A15,동남권,202107,1,2,4,1
27000,대구,202107,1,2,4,0
28000,인천,202107,1,3,4.541109620092511,0
29000,광주,202107,1,3,3.7573548620981336,0
30000,대전,202107,1,3,3.847710843373494,0
30000,대전,202107,1,2,3.7500520762076794,0
41000,경기,202107,1,1,4.686876388324492,0
42000,강원,202107,1,2,4.979020383716984,0
42000,강원,202107,1,1,6.4,0
48000,경남,202108,7,2,8.744910655893918,0
50000,제주,202108,7,2,6.161959814705646,0
A5000,5대광역시,202108,7,2,7.4522022382949835,0
A8000,8개시도,202108,7,1,10.536585365853659,0
11A01,강북지역,202108,7,2,5.276566044320362,1
11A02,강남지역,202108,7,2,5.271338250790306,1
11A13,서북권,202108,7,2,5.509289510192583,1
26000,부산,202108,7,2,7.488639693481977,0
28000,인천,202108,7,3,6.31219333732797,0
29000,광주,202108,7,1,9.574468085106384,0
31000,울산,202108,7,1,9.568773234200743,0
41000,경기,202108,7,1,9.214159292035397,0
43000,충북,202108,7,3,7.3579890624533055,0
A2000,수도권,202108,1,2,4.043192775525701,0
A2000,수도권,202108,1,3,4.069365641508395,0
A2001,지방,202108,1,1,5.538461538461538,0
A5000,5대광역시,202108,1,1,4.941176470588235,0
11A11,도심권,202108,1,1,4.457770439554121,1
11A13,서북권,202108,1,1,4.232947751253089,1
11A14,서남권,202108,1,2,3.5999999999999996,1
11A15,동남권,202108,1,1,4.351740411861145,1
30000,대전,202108,1,3,3.76746275997228,0
36000,세종,202108,1,2,3.8571428571428563,0
45000,전북,202108,1,2,4.615384615384617,0
48000,경남,202108,1,2,4.147227441094336,0
A5000,5대광역시,202108,35,2,5.818906427072408,0
A5000,5대광역시,202108,35,3,4.660152260173375,0
11A11,도심권,202108,35,1,4.834204659815792,1
11A12,동북권,202108,35,3,3.586488705180694,1
11A12,동북권,202108,35,1,4.4973467901363025,1
11A13,서북권,202108,35,2,4.106773325518011,1
11A14,서남권,202108,35,2,3.931050498642838,1
27000,대구,202108,35,2,5.79020979020979,0
41000,경기,202108,35,3,4.528914769862727,0
41000,경기,202108,35,2,5.447186405943129,0
43000,충북,202108,35,1,12.592374581939797,0
44000,충남,202108,35,3,6.245362694899086,0
47000,경북,202108,35,1,10.30473485137688,0
43000,충북,202109,1,2,4.347260558115282,0
46000,전남,202109,1,2,4.831858407079646,0
50000,제주,202109,1,2,4.741721854304635,0
A1000,전국,202109,1,3,4.043524541691307,0
A2001,지방,202109,1,2,4.153846153846154,0
11A12,동북권,202109,1,3,4.08,1
11A13,서북권,202109,1,2,3.77575233755009,1
28000,인천,202109,1,3,4.571428571428571,0
A2000,수도권,202109,35,2,4.6478342749529205,0
A5000,5대광역시,202109,35,1,7.567479373811151,0
A8000,8개시도,202109,35,3,5.398928161610681,0
11A14,서남권,202109,35,3,3.767945827827803,1
36000,세종,202109,35,3,4.824322807409274,0
42000,강원,202109,35,3,5.842105263157895,0
45000,전북,202109,35,1,10.878753204189287,0
50000,제주,202109,35,3,4.910678679989959,0
50000,제주,202109,35,1,7.183563739179808,0
44000,충남,202109,7,1,10.523982007386657,0
45000,전북,202109,7,2,9.061016949152544,0
45000,전북,202109,7,3,7.357337407172821,0
46000,전남,202109,7,3,7.691725498987651,0
47000,경북,202109,7,3,7.129118807017809,0
A2001,지방,202109,7,2,8.266108089071512,0
11A11,도심권,202109,7,2,5.31106062588206,1
11A13,서북권,202109,7,2,5.532045216956819,1
11A15,동남권,202109,7,2,4.762322027718026,1
36000,세종,202109,7,1,9.6,0
44000,충남,202109,7,3,6.305393770574828,0
A2000,수도권,202111,1,3,4.148148148148147,0
A2001,지방,202111,1,1,5.384615384615385,0
11A12,동북권,202111,1,3,4.05808931731698,1
11A14,서남권,202111,1,1,4.242090305367862,1
11A14,서남권,202111,1,2,3.654921514312096,1
11A15,동남권,202111,1,3,4.069986541049799,1
26000,부산,202111,1,1,4.884404518592495,0
28000,인천,202111,1,1,4.705882352941176,0
30000,대전,202111,1,2,3.8311878830709016,0
31000,울산,202111,1,2,3.6,0
45000,전북,202111,1,3,4.305759092329671,0
47000,경북,202111,1,3,4.363636363636365,0
48000,경남,202111,1,3,3.955557485922687,0
48000,경남,202111,1,1,4.965517241379311,0
50000,제주,202111,1,3,4.516833045035884,0
11A11,도심권,202111,35,3,4.309699623564251,1
26000,부산,202111,35,1,7.523400796219832,0
28000,인천,202111,35,3,4.761767291718608,0
43000,충북,202111,35,1,11.18310451817079,0
45000,전북,202111,35,1,9.72972972972973,0
48000,경남,202111,7,2,8.993074973441644,0
A2000,수도권,202111,7,3,4.7929452391136955,0
11000,서울,202111,7,1,5.864494631617919,0
11A12,동북권,202111,7,3,4.10558299265141,1
11A15,동남권,202111,7,2,4.7482014388489215,1
28000,인천,202111,7,2,8.34507737899243,0
31000,울산,202111,7,3,5.628431581187487,0
36000,세종,202111,7,3,4.777830095664821,0
36000,세종,202111,7,2,8.811594202898549,0
A2000,수도권,202112,35,3,4.104722607564012,0
A2001,지방,202112,35,3,5.219163343101551,0
27000,대구,202112,35,1,6.7791067187128045,0
30000,대전,202112,35,3,5.518261579269537,0
31000,울산,202112,35,3,5.283559006892531,0
36000,세종,202112,35,2,6.603288673140558,0
48000,경남,202112,35,1,9.629668595476062,0
50000,제주,202112,35,2,5.607476635514018,0
A2000,수도권,202112,7,3,4.690908137150263,0
28000,인천,202112,7,2,8.622829478440176,0
28000,인천,202112,7,3,6.210973259696411,0
29000,광주,202112,7,1,9.090909090909092,0
31000,울산,202112,7,3,5.728720267348143,0
36000,세종,202112,7,1,9.411764705882353,0
43000,충북,202112,7,1,10.714285714285714,0
45000,전북,202112,7,2,8.731828730902713,0
A1000,전국,202112,1,2,4.149096627721574,0
A1000,전국,202112,1,3,4.146839711642684,0
11A02,강남지역,202112,1,2,3.870180270405609,1
11A15,동남권,202112,1,3,4.061538461538461,1
11A15,동남권,202112,1,2,3.961334887525541,1
26000,부산,202112,1,1,4.887400734858362,0
27000,대구,202112,1,2,4.137931034482759,0
27000,대구,202112,1,1,4.363636363636364,0
30000,대전,202112,1,3,3.7947368421052623,0
31000,울산,202112,1,2,3.6496239631095513,0
36000,세종,202112,1,1,4.583453059114727,0
36000,세종,202112,1,2,4.066249504016875,0
47000,경북,202112,1,2,4.430271500245943,0
A1000,전국,202110,35,3,4.374926986781439,0
A8000,8개시도,202110,35,3,5.410698626132711,0
11000,서울,202110,35,1,3.875523012552301,0
11A12,동북권,202110,35,2,3.43466072731462,1
11A14,서남권,202110,35,2,3.815135315959015,1
11A15,동남권,202110,35,2,3.726368791459136,1
29000,광주,202110,35,2,5.8701811170440665,0
36000,세종,202110,35,1,5.607476635514018,0
42000,강원,202110,35,3,5.955237129089527,0
43000,충북,202110,35,2,9.088607594936713,0
45000,전북,202110,35,3,4.8,0
45000,전북,202110,7,1,10.23529411764706,0
A2000,수도권,202110,7,3,4.7469114347181804,0
A8000,8개시도,202110,7,3,6.474645030425963,0
A8000,8개시도,202110,7,1,10.434782608695652,0
11A01,강북지역,202110,7,1,6.451612903225806,1
11A01,강북지역,202110,7,3,4.182344270349947,1
11A14,서남권,202110,7,3,3.9008177815055576,1
26000,부산,202110,7,1,8.042813990461049,0
28000,인천,202110,7,2,8.648408231060257,0
41000,경기,202110,7,3,5.351351351351353,0
A2000,수도권,202110,1,2,4.0005753138075315,0
A2000,수도권,202110,1,3,4.114285714285716,0
A2001,지방,202110,1,1,5.440796914943659,0
A5000,5대광역시,202110,1,1,4.837616844490604,0
A8000,8개시도,202110,1,1,6.006006006006006,0
11A02,강남지역,202110,1,3,3.941496400709725,1
31000,울산,202110,1,1,4.8,0
A1000,전국,202107,35,2,4.782941821828871,0
A8000,8개시도,202107,35,1,9.722773124308667,0
11A11,도심권,202107,35,3,4.238818738028378,1
11A14,서남권,202107,35,1,4.00259268355741,1
11A11,도심권,202107,35,2,4.549026850358417,1
36000,세종,202107,35,3,6.348910593538694,0
42000,강원,202107,35,2,7.991042751440768,0
43000,충북,202107,35,2,10.434172761385794,0
44000,충남,202107,35,1,10.012000107349204,0
46000,전남,202107,35,3,5.911411319426218,0
46000,전남,202107,35,1,8.800704079770725,0
50000,제주,202107,35,2,5.505577174471678,0
44000,충남,202107,7,2,9,0
47000,경북,202107,7,3,7.631336405529954,0
50000,제주,202107,7,1,7.022121212954989,0
A1000,전국,202107,7,1,8.074534161490682,0
A5000,5대광역시,202107,7,1,8.93189430591738,0
11A01,강북지역,202107,7,1,6.730955777460769,1
11A12,동북권,202107,7,1,6.762483193472112,1
11A15,동남권,202107,7,2,4.8484828077075415,1
27000,대구,202107,7,2,7.817829795238598,0
29000,광주,202107,7,2,8.905516644369246,0
A2000,수도권,202107,1,1,4.468812441750846,0
A2001,지방,202107,1,3,4.000000000000004,0
A8000,8개시도,202107,1,2,4.447716934125456,0
11000,서울,202107,1,3,3.9105615964047766,0
11A12,동북권,202107,1,1,4.258064516129032,1
11A13,서북권,202107,1,1,4.251312046316336,1
31000,울산,202107,1,1,5,0
31000,울산,202107,1,2,3.6501462686567168,0
43000,충북,202107,1,2,4.211508459823342,0
47000,경북,202107,1,2,4.3999999999999995,0
45000,전북,202108,7,3,7.057273482696627,0
A2000,수도권,202108,7,1,7.15133308298911,0
A2000,수도권,202108,7,3,4.729334526970608,0
A2001,지방,202108,7,2,8.39896610410769,0
11000,서울,202108,7,1,6.102643387949927,0
11A01,강북지역,202108,7,1,6.687603187781324,1
27000,대구,202108,7,2,7.7265501259938,0
27000,대구,202108,7,3,5.532099752697399,0
28000,인천,202108,7,1,9.863013698630137,0
36000,세종,202108,7,2,8.75471029993643,0
A1000,전국,202108,1,1,4.860085649039561,0
11A14,서남권,202108,1,1,3.809402305592329,1
29000,광주,202108,1,3,3.801521435968911,0
29000,광주,202108,1,2,4.304620126308932,0
31000,울산,202108,1,1,4.888128937546525,0
42000,강원,202108,1,1,6.4144989339019185,0
43000,충북,202108,1,3,4.593406593406593,0
A1000,전국,202108,35,1,5.278623731031078,0
A1000,전국,202108,35,2,4.787259064188486,0
A2001,지방,202108,35,2,6.3171999374467624,0
A8000,8개시도,202108,35,1,9.819230294426093,0
11000,서울,202108,35,1,3.974931610589504,0
11000,서울,202108,35,3,3.7298847636397645,0
11A01,강북지역,202108,35,3,3.913336326897171,1
11A02,강남지역,202108,35,3,3.62235280502047,1
11A15,동남권,202108,35,3,3.396039499925112,1
28000,인천,202108,35,1,9.191926926955176,0
31000,울산,202108,35,2,6.658916106104836,0
44000,충남,202108,35,1,10.272447213072006,0
45000,전북,202108,35,2,8.24508772399333,0
45000,전북,202108,35,1,10.481907130763119,0
47000,경북,202108,35,3,5.718595149091542,0
41000,경기,202109,1,3,4.104299462957611,0
43000,충북,202109,1,3,4.588235294117647,0
A2000,수도권,202109,1,1,4.44847734928164,0
A5000,5대광역시,202109,1,3,3.990296369359293,0
A8000,8개시도,202109,1,3,4.17791481657172,0
11000,서울,202109,1,1,4.2,0
11A02,강남지역,202109,1,3,3.8102158480059174,1
11A13,서북권,202109,1,1,4.275958716030679,1
11A14,서남권,202109,1,1,3.7822303563568944,1
29000,광주,202109,1,3,3.5555555555555554,0
30000,대전,202109,1,2,3.8181818181818183,0
A1000,전국,202109,35,3,4.398080859298925,0
A2001,지방,202109,35,3,5.060415928854159,0
A8000,8개시도,202109,35,1,10.075714935988167,0
11A11,도심권,202109,35,2,4.512796758696305,1
27000,대구,202109,35,3,5.304238196154094,0
46000,전남,202109,35,2,8.046489245745018,0
46000,전남,202109,35,1,9.15676153959593,0
50000,제주,202109,35,2,6.047241046931946,0
A1000,전국,202109,7,2,6.632510798443316,0
A5000,5대광역시,202109,7,3,5.681314482231562,0
11A02,강남지역,202109,7,2,5.243419776546172,1
11A13,서북권,202109,7,3,4.413605931263411,1
26000,부산,202109,7,3,5.856236216933637,0
28000,인천,202109,7,3,6.276229542967689,0
31000,울산,202109,7,3,6.040183256446089,0
42000,강원,202109,7,3,6.757547071621669,0
42000,강원,202109,7,2,8.187033242283555,0
43000,충북,202109,7,1,11.006866749828557,0
A2000,수도권,202111,1,2,4.044943820224719,0
11A02,강남지역,202111,1,1,4.27116512992456,1
11A12,동북권,202111,1,1,4.398478055196591,1
11A15,동남권,202111,1,1,4.310615989515072,1
26000,부산,202111,1,3,4.017507612589714,0
28000,인천,202111,1,3,4.631578947368422,0
29000,광주,202111,1,3,3.865704772475028,0
36000,세종,202111,1,3,4,0
44000,충남,202111,1,3,4.5,0
44000,충남,202111,1,2,4.549024821623538,0
A2001,지방,202111,35,2,6.009113714359398,0
A5000,5대광역시,202111,35,2,5.93396450624619,0
A8000,8개시도,202111,35,1,9.846974940582914,0
11000,서울,202111,35,1,3.837134939245364,0
11A12,동북권,202111,35,2,3.455012853470437,1
11A14,서남권,202111,35,1,3.737576285963382,1
11A14,서남권,202111,35,2,3.825292471808807,1
41000,경기,202111,35,1,7.866510269325422,0
41000,경기,202111,35,2,5.490977836299036,0
44000,충남,202111,35,3,8.334677053074675,0
47000,경북,202111,35,2,8.245048776134198,0
47000,경북,202111,35,1,10.010465337770457,0
48000,경남,202111,35,2,6.221152524437782,0
48000,경남,202111,35,1,9.326068819260733,0
50000,제주,202111,35,2,5.6510304595332865,0
46000,전남,202111,7,2,10.304520591844135,0
50000,제주,202111,7,3,5.373862950859532,0
50000,제주,202111,7,1,8.75,0
45000,전북,202111,7,3,7.199999999999999,0
A2000,수도권,202111,7,1,6.937226277372263,0
A2001,지방,202111,7,2,8.221239638345411,0
11000,서울,202111,7,3,4.044589017171239,0
31000,울산,202111,7,2,8.774416307898832,0
42000,강원,202111,7,2,8.087522399320948,0
42000,강원,202111,7,1,9.143600490631588,0
43000,충북,202111,7,2,9,0
44000,충남,202111,7,3,6.520582923587234,0
A2001,지방,202112,35,1,7.511317813788299,0
A2001,지방,202112,35,2,6.0034097366925545,0
A5000,5대광역시,202112,35,1,7.390190343207474,0
11A01,강북지역,202112,35,3,3.820218507441406,1
11A15,동남권,202112,35,1,3.553370656242754,1
27000,대구,202112,35,3,5.037241036577892,0
31000,울산,202112,35,1,7.505888510861032,0
42000,강원,202112,35,2,7.218920407925575,0
43000,충북,202112,35,3,7.996437110308941,0
45000,전북,202112,35,1,9.718380623910555,0
46000,전남,202112,35,2,8.235294117647058,0
46000,전남,202112,35,1,9.509125648292123,0
A8000,8개시도,202112,7,1,10.334928229665072,0
11000,서울,202112,7,2,5.257858744971161,0
11A01,강북지역,202112,7,3,4.1953908673553295,1
11A13,서북권,202112,7,3,4.425402732636,1
11A14,서남권,202112,7,1,5.259962049335864,1
11A15,동남권,202112,7,1,5.709754163362411,1
26000,부산,202112,7,1,8,0
30000,대전,202112,7,2,6.154013904866703,0
41000,경기,202112,7,2,6.538721519346308,0
42000,강원,202112,7,3,6.493244831909716,0
A2000,수도권,202112,1,2,4.118958813962914,0
A2001,지방,202112,1,1,5.4,0
A5000,5대광역시,202112,1,1,4.8221010281627175,0
11000,서울,202112,1,2,3.9035344211211545,0
11A01,강북지역,202112,1,2,3.9737187910643894,1
11A13,서북권,202112,1,1,4.631578947368421,1
29000,광주,202112,1,3,4.346666666666666,0
41000,경기,202112,1,1,4.615384615384616,0
46000,전남,202112,1,2,4.666579722366585,0
48000,경남,202112,1,3,3.8,0
A2000,수도권,202110,35,2,4.611800905418202,0
11A02,강남지역,202110,35,1,3.6522716627634657,1
11A12,동북권,202110,35,3,3.5267141920666107,1
28000,인천,202110,35,1,8.461196605183469,0
29000,광주,202110,35,1,8.087971780136794,0
31000,울산,202110,35,2,6.7700812061034785,0
46000,전남,202110,35,2,8.235294117647058,0
47000,경북,202110,35,1,10.390330188679245,0
48000,경남,202110,35,1,9.326068819260733,0
45000,전북,202110,7,3,7.30844793713163,0
47000,경북,202110,7,2,9.473684210526317,0
48000,경남,202110,7,3,5.801044950905323,0
50000,제주,202110,7,2,6.722874459013369,0
A2000,수도권,202110,7,2,5.873566284342493,0
A8000,8개시도,202110,7,2,8.89265297480415,0
11A02,강남지역,202110,7,1,5.498039571884887,1
11A02,강남지역,202110,7,3,3.752343339915515,1
11A02,강남지역,202110,7,2,5.287305372979303,1
11A15,동남권,202110,7,2,4.765266501941405,1
29000,광주,202110,7,2,8.891932365363935,0
30000,대전,202110,7,2,6.056392429509463,0
36000,세종,202110,7,3,4.259547195570556,0
41000,경기,202110,7,2,6.682512733446519,0
43000,충북,202110,7,2,9.131437355880093,0
44000,충남,202110,7,2,8.936170212765957,0
44000,충남,202110,7,1,10.5,0
11000,서울,202110,1,3,3.9442896935933147,0
11A01,강북지역,202110,1,3,3.9600000000000004,1
11A01,강북지역,202110,1,2,3.840965952355053,1
11A11,도심권,202110,1,3,3.9473684210526314,1
11A13,서북권,202110,1,3,3.8378082191780813,1
29000,광주,202110,1,3,3.6226833011158326,0
30000,대전,202110,1,2,3.797468354430379,0
31000,울산,202110,1,3,3.7183098591549295,0
31000,울산,202110,1,2,3.563496510862796,0
36000,세종,202110,1,1,4.6408118292002785,0
50000,제주,202110,1,3,4.161406199626231,0
A5000,5대광역시,202107,35,2,5.9121712322734075,0
11A13,서북권,202107,35,2,4.126467081955102,1
11A14,서남권,202107,35,3,4.058040085805469,1
27000,대구,202107,35,2,6.115348283686494,0
28000,인천,202107,35,3,4.503728302192433,0
30000,대전,202107,35,3,5.129139935134112,0
44000,충남,202107,35,2,8.561018738426549,0
47000,경북,202107,35,3,6.643931795386158,0
47000,경북,202107,35,2,8.216763550309906,0
48000,경남,202107,35,3,5.990456206253332,0
45000,전북,202107,7,2,9.327364297705653,0
A2000,수도권,202107,7,1,7.199999999999999,0
A2001,지방,202107,7,2,8.539686168124746,0
11A02,강남지역,202107,7,1,5.640552995391705,1
11A11,도심권,202107,7,3,4.5502802157132285,1
11A12,동북권,202107,7,3,3.770144339064716,1
29000,광주,202107,7,1,8.952727549165346,0
31000,울산,202107,7,2,8.918135073327967,0
43000,충북,202107,7,3,7.732387772531704,0
43000,충북,202107,7,1,10.909090909090908,0
44000,충남,202107,7,3,7.16807095343681,0
A5000,5대광역시,202107,1,1,4.971863827141304,0
11A02,강남지역,202107,1,3,3.889789303079417,1
11A13,서북권,202107,1,2,3.8114294604619934,1
27000,대구,202107,1,1,4.3098320195346025,0
28000,인천,202107,1,2,4.35366411014518,0
